X6005.3SA	X6005.3SB	X6005.3SC	DMSO5.3A	DMSO5.3B	DMSO5.3C
Unknown_1	0	0	0	0	0	1
Gm26206_2	0	0	0	0	0	0
Xkr4_3	0	0	0	0	0	0
Unknown_4	0	0	0	0	0	0
Gm27396_5	0	0	0	0	0	0
Rp1_6	0	0	0	0	0	0
Sox17_7	0	0	0	0	0	0
Gm22307_8	0	0	0	0	0	0
Unknown_9	1302	1760	1455	1218	1404	1000
Unknown_10	0	1	0	0	0	0
Mrpl15_11	1766	2211	2154	1741	2690	2070
Lypla1_12	4919	5093	5189	2526	4200	3183
Tcea1_13	3104	2332	2292	1544	2457	1936
Unknown_14	1535	1494	1470	1273	1994	1501
Rgs20_15	1	0	0	0	1	0
Unknown_16	291	277	235	229	321	259
Gm16041_17	1	0	0	0	0	0
Gm17101_18	0	1	0	1	1	1
Atp6v1h_19	3789	3910	3675	2236	3446	2646
Oprk1_20	0	0	0	0	0	0
Unknown_21	0	0	0	0	0	0
Npbwr1_22	0	0	0	0	0	0
Rb1cc1_23	2862	3076	2941	1903	2510	1694
Unknown_24	18	21	33	12	23	14
Unknown_25	93	97	94	71	71	50
Alkal1_26	0	0	0	0	0	0
St18_27	1	1	0	0	0	0
Pcmtd1_28	1638	1259	1123	481	712	498
Unknown_29	203	240	210	135	186	137
Unknown_30	1372	2053	1819	1469	2343	1653
Gm23274_31	0	0	0	0	0	0
Unknown_32	8	12	7	2	6	3
Sntg1_33	0	0	0	0	0	0
Unknown_34	24	26	26	6	6	6
Unknown_35	0	0	0	0	0	0
Unknown_36	1724	2179	2017	1210	1895	1258
Unknown_37	399	391	394	272	335	271
Unknown_38	4	9	3	1	3	1
Unknown_39	10	13	12	6	14	10
Gm24765_40	0	0	0	0	0	0
Rrs1_41	2685	3353	2997	2304	3577	2932
Adhfe1_42	112	37	33	65	57	36
2610203C22Rik_43	21	7	5	11	9	10
Gm6161_44	2446	3469	3140	2148	3380	2638
Vxn_45	0	0	0	0	0	0
Mybl1_46	593	569	647	163	222	214
Vcpip1_47	4910	5142	4927	2938	4319	2994
Unknown_48	666	668	690	419	553	407
Sgk3_49	3118	2506	2684	1928	2861	2177
Gm6195_50	369	413	414	363	516	344
Unknown_51	1	0	0	0	0	0
Mcmdc2_52	86	79	94	85	121	84
Snhg6_53	1341	1255	1338	987	1404	1137
Snord87_54	84	71	103	41	50	63
Tcf24_55	3	2	3	1	1	2
Unknown_56	2	1	2	1	1	1
Ppp1r42_57	2	0	3	2	9	3
Unknown_58	1	0	1	1	3	2
LOC115487608_59	0	0	0	0	0	0
Cops5_60	2976	3404	3342	2395	3831	2922
Cspp1_61	1539	1850	1845	636	982	747
Arfgef1_62	8172	7048	6958	4523	6501	5114
Unknown_63	3	2	4	2	2	2
Cpa6_64	2	7	2	4	9	1
Unknown_65	70	86	87	49	68	84
Gm25253_66	0	0	0	0	0	0
Gm15603_67	2	1	1	3	1	1
Unknown_68	0	0	0	0	0	0
Prex2_69	21	9	13	8	10	6
Gm24173_70	0	0	0	0	0	0
A830018L16Rik_71	2	0	0	0	0	0
Unknown_72	0	0	0	0	0	0
Gm22633_73	0	0	0	0	0	0
Mir6341_74	0	0	0	0	0	0
Unknown_75	55	76	76	48	83	70
Unknown_76	3	5	3	2	3	1
Gm17644_77	0	0	0	0	0	0
Sulf1_78	0	0	0	0	0	0
Slco5a1_79	0	0	0	114	124	130
Unknown_80	0	0	0	0	0	0
Prdm14_81	0	1	1	0	3	3
Ncoa2_82	4372	3967	3721	2303	3581	2532
Unknown_83	0	0	0	0	0	0
Gm23169_84	0	0	0	0	0	0
Tram1_85	7550	8984	8936	5883	9466	7186
Lactb2_86	1177	1454	1402	1038	1711	1430
Xkr9_87	0	0	0	0	1	0
Gm26273_88	0	0	0	0	0	0
Gm5523_89	119	173	166	136	167	130
Unknown_90	0	0	0	0	0	0
Eya1_91	1419	1949	1691	1162	1809	1445
Unknown_92	1	0	1	0	0	1
Msc_93	0	0	0	0	0	0
Unknown_94	0	0	0	0	0	0
Unknown_95	536	528	509	355	502	399
Rpl5-ps1_96	7526	7085	7264	4636	5934	4453
Trpa1_97	0	0	0	0	0	0
Gm26345_98	0	0	0	0	0	0
Gm10566_99	1891	3184	2651	2391	3026	2279
Kcnb2_100	0	0	0	0	0	0
Gm25227_101	0	0	0	0	0	0
Unknown_102	0	0	0	0	0	0
Gm25168_103	0	0	0	0	0	0
Terf1_104	838	1221	1145	755	1355	964
Sbspon_105	1	8	0	1	0	2
Unknown_106	0	0	0	0	0	0
4930444P10Rik_107	0	0	1	0	1	0
Rpl7_108	26130	32678	31162	20793	28395	21168
Rdh10_109	317	361	349	142	232	192
Stau2_110	2459	1741	1816	1112	1979	1501
Gm7568_111	0	0	0	0	0	0
Ube2w_112	2572	2562	2609	1513	2100	1495
Eloc_113	1566	1880	1851	1234	1891	1444
D030040B21Rik_114	0	2	1	0	0	0
Tmem70_115	1379	1368	1517	1097	1668	1406
Ly96_116	10	18	19	19	37	13
Gm5828_117	539	686	632	416	666	467
Jph1_118	0	0	0	0	0	0
Gdap1_119	0	0	0	0	0	0
Gm25166_120	0	0	0	0	0	0
Pi15_121	0	0	0	0	2	0
Gm16070_122	0	0	0	0	0	0
Crispld1_123	0	0	0	0	0	0
Crisp4_124	0	0	0	0	0	0
Defb44-ps_125	0	0	0	0	0	0
Defb18_126	0	0	0	0	0	0
Defb41_127	0	0	0	0	0	0
Unknown_128	0	0	0	0	0	0
Gm24075_129	0	0	0	0	0	0
Gm15825_130	0	0	0	0	0	0
Tfap2d_131	0	0	0	0	0	0
Gm2710_132	2099	2719	2482	1855	2818	1906
Tfap2b_133	0	0	0	0	0	0
Unknown_134	0	0	0	0	0	0
Unknown_135	0	0	0	0	0	0
Pkhd1_136	0	0	0	0	0	0
4930486I03Rik_137	0	0	0	0	0	0
Unknown_138	199	157	178	123	138	94
Gm24162_139	0	0	0	0	0	0
Mir206_140	0	0	0	0	0	0
Mir133b_141	0	0	0	0	0	0
Il17a_142	0	0	0	0	0	0
Il17f_143	0	2	2	3	1	0
Mcm3_144	11271	14837	12355	11472	18208	12236
Gm24723_145	0	0	0	0	0	0
6720483E21Rik_146	1	4	2	4	9	3
Paqr8_147	1118	786	861	372	719	530
Gm24171_148	0	0	0	0	0	0
Efhc1_149	7	3	4	3	7	7
Tram2_150	995	1242	1318	333	659	545
Tmem14a_151	68	88	102	75	103	64
Gsta3_152	4	8	7	6	4	3
Unknown_153	1	13	4	1	0	1
Gm4956_154	0	0	0	0	0	0
Unknown_155	0	0	0	0	0	0
Khdc1a_156	0	0	0	0	0	0
Unknown_157	0	0	0	0	0	0
Unknown_158	0	0	0	0	0	0
Khdc1c_159	0	0	0	0	0	0
Unknown_160	0	0	0	0	0	0
Unknown_161	0	0	0	0	0	0
Khdc1b_162	0	0	0	0	0	0
Unknown_163	0	0	0	0	0	0
Kcnq5_164	537	661	539	513	695	407
Gm7658_165	2721	3033	3059	2151	3421	2452
Unknown_166	25	27	23	32	34	16
Rims1_167	1	0	0	0	0	0
Unknown_168	0	1	0	2	0	0
Ppp1r14bl_169	1	3	3	5	6	7
Gm24176_170	0	0	0	0	0	0
Unknown_171	0	0	0	0	0	0
Mir30a_172	0	0	0	0	0	0
Unknown_173	3	3	4	2	1	3
Mir30c-2_174	0	0	0	0	0	0
Ogfrl1_175	6182	5429	5125	3015	3795	2743
Gm7784_176	5	7	5	7	3	5
B3gat2_177	1521	1461	1295	932	1388	952
Smap1_178	2395	2358	2129	1499	2284	1589
Sdhaf4_179	321	301	299	294	384	236
Unknown_180	82	82	72	79	113	59
Fam135a_181	271	203	205	327	556	358
Unknown_182	0	0	0	0	0	0
Col9a1_183	0	0	0	0	0	0
Col19a1_184	1	5	4	5	0	3
Gm26418_185	0	0	0	0	0	0
Gm10222_186	7323	12217	12891	4591	8721	6462
Lmbrd1_187	1453	1135	1263	675	1120	803
Adgrb3_188	0	0	0	0	1	0
Unknown_189	335	315	327	188	285	206
Gm22260_190	0	0	0	0	0	0
Gm25294_191	0	0	0	0	0	0
Unknown_192	0	0	0	0	0	0
Gm24064_193	0	0	0	0	0	0
4931408C20Rik_194	5	12	12	15	32	37
n-R5s209_195	0	0	0	0	0	0
Unknown_196	217	306	362	256	453	326
Gm597_197	0	0	0	0	2	1
Unknown_198	168	245	207	157	269	211
Gm6462_199	1	2	1	0	2	0
Unknown_200	0	0	0	0	0	0
Unknown_201	0	0	0	0	0	0
Unknown_202	0	0	0	0	0	0
Mir6342_203	0	0	0	0	0	0
Unknown_204	0	0	0	0	0	0
Unknown_205	0	0	0	0	0	0
Unknown_206	0	0	0	1	0	0
Phf3_207	5828	6438	5999	3482	5193	3804
Ptp4a1_208	482	480	448	343	521	393
Unknown_209	1	0	2	2	1	0
Gm9458_210	1	0	0	1	1	0
Unknown_211	1	0	1	0	1	1
Unknown_212	0	0	0	0	0	0
4931428L18Rik_213	0	0	0	0	0	0
Lgsn_214	0	0	0	0	0	0
Dnaaf6_215	0	0	0	0	0	0
Gm26145_216	0	0	0	0	0	0
Unknown_217	97	114	126	92	133	97
Gm19680_218	571	600	560	613	874	601
Gm23032_219	0	0	0	0	0	0
Unknown_220	3	4	7	3	1	6
Khdrbs2_221	0	0	0	0	0	0
Gm25814_222	0	0	0	0	0	0
Unknown_223	0	0	0	0	0	0
Gm5415_224	1	0	0	0	0	0
Gm24732_225	0	0	0	0	0	0
Unknown_226	0	0	0	0	0	0
Gm24901_227	0	0	0	0	0	0
Gm25792_228	0	0	0	0	0	0
Gm23453_229	0	0	0	0	0	0
Prim2_230	1050	1430	1313	858	1271	841
Unknown_231	9	6	5	2	7	2
Rab23_232	108	204	232	251	379	287
Bag2_233	336	1029	1059	1223	1759	1553
Zfp451_234	1744	1895	1840	1315	2043	1581
Gm15455_235	608	601	573	455	695	516
Bend6_236	0	0	0	0	0	0
Dst_237	18	16	8	24	11	11
Gm23792_238	0	0	0	0	0	0
Unknown_239	0	0	0	1	0	0
Unknown_240	0	0	0	0	0	0
Mir5103_241	0	0	0	0	0	0
Ccdc115_242	1499	1311	1211	1745	1983	1564
Imp4_243	2327	2804	2643	2132	3062	2433
Ptpn18_244	1725	1634	1679	1009	1391	1062
Prss39_245	1	3	2	1	2	0
Cfc1_246	0	0	0	0	0	0
Prss40_247	0	0	0	0	0	0
Unknown_248	0	0	0	0	0	0
Amer3_249	0	0	1	0	0	0
Arhgef4_250	841	814	899	504	664	519
Unknown_251	0	0	0	0	0	0
Fam168b_252	12012	11550	11035	5777	8696	6497
Plekhb2_253	4101	4091	4276	2136	2707	2046
Gm25096_254	0	0	0	0	0	0
Gm25634_255	0	0	0	0	0	0
Hs6st1_256	1254	1585	1721	1001	1193	1008
Uggt1_257	13927	18085	17235	9343	11889	9022
Mir6897_258	3	56	1	80	0	0
Neurl3_259	1241	984	955	1375	1596	1144
Arid5a_260	2784	2240	2247	1008	1007	738
Kansl3_261	3333	3415	3201	1866	2671	1919
Mir6898_262	1	10	0	0	1	0
Fer1l5_263	249	158	144	172	222	194
Lman2l_264	1619	1805	1635	1254	1601	1121
Cnnm4_265	1293	1907	1797	343	455	374
Cnnm3_266	1472	1308	1415	836	1012	785
Ankrd23_267	362	294	277	211	228	215
Ankrd39_268	370	318	376	300	418	294
Sema4c_269	37	118	73	52	69	55
Unknown_270	1	2	1	1	0	1
Fam178b_271	1	0	0	1	0	1
Unknown_272	205	187	170	99	149	88
Unknown_273	0	0	0	0	0	0
Cox5b_274	2312	3068	3018	2455	3972	2811
Actr1b_275	1995	2232	2327	1452	2001	1611
Zap70_276	0	0	0	0	0	0
Gm18828_277	0	0	0	0	0	0
Tmem131_278	3129	3414	3314	1938	3018	2444
Unknown_279	510	482	480	353	423	358
n-R5s210_280	1	0	1	0	0	0
Vwa3b_281	0	0	0	0	0	0
Unknown_282	0	0	0	0	0	0
Cnga3_283	0	1	0	1	11	7
Inpp4a_284	2558	2308	2709	510	810	793
